Data;IPC
jan/99;0,64
fev/99;1,41
mar/99;0,95
abr/99;0,52
mai/99;0,08
jun/99;0,65
jul/99;1,2
ago/99;0,48
set/99;0,19
out/99;0,92
nov/99;1,12
dez/99;0,6
jan/00;1,01
fev/00;0,05
mar/00;0,51
abr/00;0,25
mai/00;0,4
jun/00;-0,01
jul/00;1,91
ago/00;0,86
set/00;0,04
out/00;0,02
nov/00;0,4
dez/00;0,62
jan/01;0,64
fev/01;0,4
mar/01;0,56
abr/01;0,86
mai/01;0,41
jun/01;0,52
jul/01;1,36
ago/01;0,54
set/01;0,12
out/01;0,71
nov/01;0,85
dez/01;0,7
jan/02;0,79
fev/02;0,14
mar/02;0,42
abr/02;0,71
mai/02;0,28
jun/02;0,55
jul/02;1,03
ago/02;0,76
set/02;0,66
out/02;1,14
nov/02;3,14
dez/02;1,94
jan/03;2,32
fev/03;1,37
mar/03;1,06
abr/03;1,12
mai/03;0,69
jun/03;-0,16
jul/03;0,34
ago/03;0,13
set/03;0,76
out/03;0,21
nov/03;0,33
dez/03;0,43
jan/04;1,08
fev/04;0,28
mar/04;0,46
abr/04;0,31
mai/04;0,71
jun/04;0,78
jul/04;0,59
ago/04;0,79
set/04;0,01
out/04;0,1
nov/04;0,37
dez/04;0,63
jan/05;0,85
fev/05;0,43
mar/05;0,7
abr/05;0,88
mai/05;0,79
jun/05;-0,05
jul/05;0,13
ago/05;-0,44
set/05;0,09
out/05;0,42
nov/05;0,57
dez/05;0,46
jan/06;0,65
fev/06;0,01
mar/06;0,22
abr/06;0,34
mai/06;-0,19
jun/06;-0,4
jul/06;0,06
ago/06;0,16
set/06;0,19
out/06;0,14
nov/06;0,24
dez/06;0,63
jan/07;0,69
fev/07;0,34
mar/07;0,48
abr/07;0,31
mai/07;0,25
jun/07;0,42
jul/07;0,28
ago/07;0,42
set/07;0,23
out/07;0,13
nov/07;0,27
dez/07;0,7
jan/08;0,97
fev/08;0
mar/08;0,45
abr/08;0,72
mai/08;0,87
jun/08;0,77
jul/08;0,53
ago/08;0,14
set/08;-0,09
out/08;0,47
nov/08;0,56
dez/08;0,52
jan/09;0,83
fev/09;0,21
mar/09;0,61
abr/09;0,47
mai/09;0,39
jun/09;0,12
jul/09;0,34
ago/09;0,2
set/09;0,18
out/09;0,01
nov/09;0,26
dez/09;0,24
jan/10;1,29
fev/10;0,68
mar/10;0,86
abr/10;0,76
mai/10;0,21
jun/10;-0,21
jul/10;-0,21
ago/10;-0,08
set/10;0,46
out/10;0,59
nov/10;1
dez/10;0,72
jan/11;1,27
fev/11;0,49
mar/11;0,71
abr/11;0,95
mai/11;0,51
jun/11;-0,18
jul/11;-0,04
ago/11;0,4
set/11;0,5
out/11;0,26
nov/11;0,53
dez/11;0,79
jan/12;0,81
fev/12;0,24
mar/12;0,6
abr/12;0,52
mai/12;0,52
jun/12;0,11
jul/12;0,22
ago/12;0,44
set/12;0,54
out/12;0,48
nov/12;0,45
dez/12;0,66
jan/13;1,01
fev/13;0,33
mar/13;0,72
abr/13;0,52
mai/13;0,32
jun/13;0,35
jul/13;-0,17
ago/13;0,2
set/13;0,3
out/13;0,55
nov/13;0,68
dez/13;0,69
jan/14;0,99
fev/14;0,66
mar/14;0,85
abr/14;0,77
mai/14;0,52
jun/14;0,33
jul/14;0,1
ago/14;0,12
set/14;0,49
out/14;0,43
nov/14;0,65
dez/14;0,75
jan/15;1,73
fev/15;0,97
mar/15;1,41
abr/15;0,61
mai/15;0,72
jun/15;0,82
jul/15;0,53
ago/15;0,22
set/15;0,42
out/15;0,76
nov/15;1
dez/15;0,88
jan/16;1,78
fev/16;0,76
mar/16;0,5
abr/16;0,49
mai/16;0,64
jun/16;0,26
jul/16;0,37
ago/16;0,32
set/16;0,07
out/16;0,34
nov/16;0,17
dez/16;0,33
jan/17;0,69
fev/17;0,31
mar/17;0,47
abr/17;0,12
mai/17;0,52
jun/17;-0,32
jul/17;0,38
ago/17;0,13
