"data";"round...bsm2_beta.out....mu...100...1..12...1....100..2."
1999-01-01;7.94
1999-02-01;7.87
1999-03-01;8.38
1999-04-01;8.66
1999-05-01;8.69
1999-06-01;8.48
1999-07-01;8.68
1999-08-01;8.47
1999-09-01;8.29
1999-10-01;8.25
1999-11-01;8.49
1999-12-01;8.71
2000-01-01;8.57
2000-02-01;8.91
2000-03-01;8.39
2000-04-01;8.06
2000-05-01;7.8
2000-06-01;8.1
2000-07-01;7.62
2000-08-01;8.13
2000-09-01;8.47
2000-10-01;8.25
2000-11-01;7.73
2000-12-01;7.25
2001-01-01;7.28
2001-02-01;7.17
2001-03-01;6.84
2001-04-01;6.76
2001-05-01;7.24
2001-06-01;7.49
2001-07-01;7.69
2001-08-01;7.64
2001-09-01;7.54
2001-10-01;7.55
2001-11-01;7.68
2001-12-01;7.71
2002-01-01;7.8
2002-02-01;7.88
2002-03-01;7.42
2002-04-01;7.17
2002-05-01;7.44
2002-06-01;7.44
2002-07-01;7.61
2002-08-01;7.24
2002-09-01;7.46
2002-10-01;7.95
2002-11-01;8.4
2002-12-01;8.73
2003-01-01;9.21
2003-02-01;9.65
2003-03-01;10.18
2003-04-01;10.56
2003-05-01;10.97
2003-06-01;11.24
2003-07-01;10.71
2003-08-01;10.21
2003-09-01;9.69
2003-10-01;10.11
2003-11-01;9.59
2003-12-01;9.07
2004-01-01;8.63
2004-02-01;8.84
2004-03-01;8.41
2004-04-01;8.1
2004-05-01;7.69
2004-06-01;8.06
2004-07-01;8.49
2004-08-01;8
2004-09-01;8.29
2004-10-01;7.89
2004-11-01;7.4
2004-12-01;7
2005-01-01;7
2005-02-01;6.96
2005-03-01;6.89
2005-04-01;7.07
2005-05-01;7.44
2005-06-01;7.81
2005-07-01;7.34
2005-08-01;6.83
2005-09-01;6.32
2005-10-01;6.21
2005-11-01;6.21
2005-12-01;6.19
2006-01-01;6.03
2006-02-01;5.83
2006-03-01;5.43
2006-04-01;5.1
2006-05-01;4.86
2006-06-01;4.38
2006-07-01;3.92
2006-08-01;3.44
2006-09-01;3.36
2006-10-01;3.6
2006-11-01;3.44
2006-12-01;3.22
2007-01-01;3.51
2007-02-01;3.6
2007-03-01;3.81
2007-04-01;3.98
2007-05-01;3.86
2007-06-01;3.9
2007-07-01;4.32
2007-08-01;4.03
2007-09-01;4.25
2007-10-01;4.4
2007-11-01;4.23
2007-12-01;4.06
2008-01-01;4.29
2008-02-01;4.61
2008-03-01;4.29
2008-04-01;4.34
2008-05-01;4.69
2008-06-01;5.17
2008-07-01;5.66
2008-08-01;5.66
2008-09-01;5.37
2008-10-01;5.04
2008-11-01;5.29
2008-12-01;5.46
2009-01-01;5.3
2009-02-01;5.3
2009-03-01;5.27
2009-04-01;5.43
2009-05-01;5.32
2009-06-01;5.25
2009-07-01;5.02
2009-08-01;4.83
2009-09-01;4.76
2009-10-01;4.88
2009-11-01;4.54
2009-12-01;4.34
2010-01-01;4.01
2010-02-01;4.47
2010-03-01;4.93
2010-04-01;5.3
2010-05-01;5.58
2010-06-01;5.31
2010-07-01;4.87
2010-08-01;4.38
2010-09-01;4.06
2010-10-01;4.45
2010-11-01;4.84
2010-12-01;5.33
2011-01-01;5.58
2011-02-01;5.91
2011-03-01;6.04
2011-04-01;6.09
2011-05-01;6.43
2011-06-01;6.55
2011-07-01;6.16
2011-08-01;5.75
2011-09-01;5.98
2011-10-01;6.23
2011-11-01;6.04
2011-12-01;5.96
2012-01-01;6.18
2012-02-01;5.85
2012-03-01;5.64
2012-04-01;5.56
2012-05-01;5.33
2012-06-01;5.5
2012-07-01;5.6
2012-08-01;5.6
2012-09-01;5.82
2012-10-01;6.04
2012-11-01;6.2
2012-12-01;6.04
2013-01-01;6.02
2013-02-01;6.03
2013-03-01;5.98
2013-04-01;6.06
2013-05-01;5.87
2013-06-01;5.7
2013-07-01;6.02
2013-08-01;5.6
2013-09-01;5.45
2013-10-01;5.33
2013-11-01;5.57
2013-12-01;5.78
2014-01-01;5.83
2014-02-01;5.82
2014-03-01;6.17
2014-04-01;6.36
2014-05-01;6.53
2014-06-01;6.62
2014-07-01;6.77
2014-08-01;6.68
2014-09-01;6.42
2014-10-01;6.51
2014-11-01;6.44
2014-12-01;6.5
2015-01-01;6.55
2015-02-01;7.06
2015-03-01;7.5
2015-04-01;8
2015-05-01;7.8
2015-06-01;8.01
2015-07-01;8.47
2015-08-01;8.81
2015-09-01;8.61
2015-10-01;8.43
2015-11-01;8.66
2015-12-01;8.96
2016-01-01;8.99
2016-02-01;9.44
2016-03-01;9.44
2016-04-01;8.95
2016-05-01;8.63
2016-06-01;8.61
2016-07-01;8.34
2016-08-01;8.4
2016-09-01;8.42
2016-10-01;7.99
2016-11-01;7.67
2016-12-01;7.18
2017-01-01;6.75
2017-02-01;6.25
2017-03-01;5.94
2017-04-01;5.64
2017-05-01;5.25
2017-06-01;5.32
2017-07-01;4.85
2017-08-01;5.12
